0
"instruct when did virgin australia start ?oper context virgin ,australia the trad nam of virgin ...a respons virgin australia commenc servic on 31 ...augu categori _closedqa :nam ,0 :dtyp object"
"instruct which i a speci of ?fish top or rop context nan respons top categori classif :nam ,1 :dtyp object"
"instruct why can camel surv for long without ?water context nan respons camel us the fat in their hump to keep ...them categori _openqa :nam ,2 :dtyp object"
"instruct 'alic parent hav three :daughter ,ami ...je context nan respons the nam of the third daughter i alic categori _openqa :nam ,3 :dtyp object"
"instruct when wa tomoaki komorida ?born context komorida wa born in kumamoto prefectur on ...ju respons tomoaki komorida wa born on juli ,.101981 categori _closedqa :nam ,4 :dtyp object"
"instruct if i hav mor piec at the tim of ...stalem context stalem i a situ in chess wher the ...pl respons .no \nstalem i a drawn .posit it '...doesn categori _informationextract :nam ,5 :dtyp object"
"instruct given a refer text about ,lollapalooza ...whe context lollapalooza //ˌlɒləpəˈluːzə ()lolla i an ...ann respons lollapalooz i an annual music festiv ...hel categori _closedqa :nam ,6 :dtyp object"
"instruct who gav the un the land in ny to build their hq context nan respons john d rockerfell categori _openqa :nam ,7 :dtyp object"
"instruct why mobil i bad for human context nan respons we ar alwai engag on phon which i not ...g categori brainstorm :nam ,8 :dtyp object"
"instruct who wa john mos ?brown context john mos brown (januari ,23 1855 – ...novemb respons john mos brown i on of the most -...wellkn categori _informationextract :nam ,9 :dtyp object"
"instruct who i thoma ?jefferson context thoma jefferson (april ,13 []1743a – juli ,4 ... respons thoma jefferson (april ,13 []1743a – juli ,4 ... categori _informationextract :nam ,10 :dtyp object"
"instruct who wa kyl van zyl playing against when he ... context van zyl join the eastern provinc king ...acad respons kyl van zyl wa playing against boland u21 ...wh categori _closedqa :nam ,11 :dtyp object"
"instruct from the passag list down the area for ...which context dar e salaam (/ˌdɑːr ɛ /;səˈlɑːm from ...arab respons ,art ,fashion ,media ,film ,televis fin categori _informationextract :nam ,12 :dtyp object"
"instruct what i a ?polygon context nan respons a polygon i a form in .geometri it i a ...sing categori _openqa :nam ,13 :dtyp object"
"instruct how do i start ?run context nan respons mak sur you get comfort run shoe ...an categori _generalqa :nam ,14 :dtyp object"
"instruct which episod of season four of gam of ...thron context nan respons she direct """"oathkeep and ""first of hi ...na categori _openqa :nam ,15 :dtyp object"
"instruct what i process ?min context process min i a famili of techniqu ...relat respons process min bring togeth data ,min ...da categori _informationextract :nam ,16 :dtyp object"
"instruct what ar som uniqu curtain tie back that ...yo context nan respons ther ar mani item you can us to mak a ...cur categori brainstorm :nam ,17 :dtyp object"
"instruct what i a dispers ?prism context in ,optic a dispers prism i an optic ...pr respons a dispers prism i an optic prism that ...di categori summar :nam ,18 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons gudok i ,string cantaro i .percuss categori classif :nam ,19 :dtyp object"
"instruct giv me the top 5 golf equip compani .nam context nan respons ,titleist ,taylormad ,callawai ,ping cobra categori brainstorm :nam ,20 :dtyp object"
"instruct what individu ha won the most olymp gold ... context nan respons michael phelp ha won the most gold medal ...of categori _openqa :nam ,21 :dtyp object"
"instruct which dutch artist paint “girl with a pearl ... context nan respons vermeer categori _openqa :nam ,22 :dtyp object"
"instruct what happen when the sun goe ?down context nan respons when the sun ,set the even .start categori _openqa :nam ,23 :dtyp object"
"instruct what i a ?verb context nan respons a verb i an action word that describ an ...act categori _openqa :nam ,24 :dtyp object"
"instruct extract the owner of lamborghini and a ...list context automobili lamborghini ...spa (italian ...pronunc respons vokswagen group own lamborghini through it ... categori _informationextract :nam ,25 :dtyp object"
"instruct which of the follow i useful for ...transport context nan respons the useful object for transport in the ...l categori classif :nam ,26 :dtyp object"
"instruct identifi which instru i string or ...woodwin context nan respons zurna i ,woodwind panduri i .string categori classif :nam ,27 :dtyp object"
"instruct what i the averag lifespan of a golden ...retri context golden retriev ar a gener healthi ...bree respons the averag lifespan of a golden retriev i ... categori _informationextract :nam ,28 :dtyp object"
